"SampleID","Site","X0.1.0.cm","X1.0.3.0.cm","X3.0.6.0.cm","Year"
"BF1-1","BF1",0.82,1.01,1.21,"2013"
"BF1-2","BF1",0.47,0.74,1.12,"2013"
"BF1-3","BF1",1.19,1.29,1.75,"2013"
"BF1-4","BF1",0.84,0.98,1.28,"2013"
"BF1-5","BF1",0.63,1.06,1.34,"2013"
"BF1-6","BF1",0.42,0.7,1.29,"2013"
"BF1-7","BF1",0.65,1.09,1.39,"2013"
"BF1-8","BF1",0.89,1.36,1.43,"2013"
"BF1-9","BF1",0.73,1.03,1.4,"2013"
"BF1-10","BF1",0.42,0.66,0.85,"2013"
"BF3-1","BF3",0.5,1.05,1.45,"2013"
"BF3-2","BF3",1.15,1.2,1.34,"2013"
"BF3-3","BF3",0.58,0.95,1.19,"2013"
"BF3-4","BF3",0.79,0.96,1.41,"2013"
"BF3-5","BF3",1.3,1.04,1.39,"2013"
"BF3-6","BF3",0.91,1.28,1.46,"2013"
"BF3-7","BF3",0.69,0.93,1.47,"2013"
"BF3-8","BF3",0.42,0.87,1.28,"2013"
"BF3-9","BF3",0.43,0.69,1,"2013"
"BF3-10","BF3",0.8,1.32,1.27,"2013"
"BF5-1","BF5",0.18,0.34,0.86,"2013"
"BF5-2","BF5",0.28,0.45,1.04,"2013"
"BF5-3","BF5",0.87,1.1,1.25,"2013"
"BF5-4","BF5",0.86,0.87,1.07,"2013"
"BF5-5","BF5",0.25,0.43,0.85,"2013"
"BF5-6","BF5",0.42,0.73,1.13,"2013"
"BF5-7","BF5",0.85,1.07,1.19,"2013"
"BF5-8","BF5",0.53,0.6,0.97,"2013"
"BF5-9","BF5",0.38,0.6,1.18,"2013"
"BF5-10","BF5",0.45,0.53,0.92,"2013"
"BF1-1A","BF1",0.76,0.86,1.08,"2015"
"BF1-1B","BF1",1,0.98,1.35,"2015"
"BF1-2","BF1",1.05,1.13,1.16,"2015"
"BF1-3A","BF1",1.54,1.32,1.5,"2015"
"BF1-3B","BF1",1.78,1.35,1.55,"2015"
"BF1-4","BF1",1.27,1.06,1.29,"2015"
"BF1-5A","BF1",1.51,0.89,1.02,"2015"
"BF1-5B","BF1",1.73,0.9,1.05,"2015"
"BF1-6","BF1",0.61,0.57,1.14,"2015"
"BF1-7A","BF1",1.26,1.08,1.48,"2015"
"BF1-7B","BF1",1.34,1.27,1.48,"2015"
"BF1-8","BF1",1.45,1.11,1.24,"2015"
"BF1-9A","BF1",0.8,0.82,1.54,"2015"
"BF1-9B","BF1",0.97,1.27,1.31,"2015"
"BF1-10","BF1",0.5,0.98,1.26,"2015"
"BF3-1A","BF3",0.79,1.27,1.37,"2015"
"BF3-1B","BF3",0.45,1.15,1.42,"2015"
"BF3-2","BF3",0.33,0.39,1.1,"2015"
"BF3-3A","BF3",0.53,0.82,1.46,"2015"
"BF3-3B","BF3",0.69,1.05,1.36,"2015"
"BF3-4","BF3",0.66,0.97,1.39,"2015"
"BF3-5A","BF3",1.23,1.3,1.62,"2015"
"BF3-5B","BF3",0.95,1.69,1.36,"2015"
"BF3-6","BF3",0.76,1.05,1.27,"2015"
"BF3-7A","BF3",0.36,0.61,1.07,"2015"
"BF3-7B","BF3",0.71,0.8,1.24,"2015"
"BF3-8","BF3",0.28,1.15,1.47,"2015"
"BF3-9A","BF3",0.59,0.73,1.01,"2015"
"BF3-9B","BF3",0.63,0.73,0.98,"2015"
"BF3-10","BF3",0.49,1.08,1.28,"2015"
"BF5-1A","BF5",0.5,0.73,1.23,"2015"
"BF5-1B","BF5",0.31,0.7,1.29,"2015"
"BF5-2","BF5",0.5,0.6,1.1,"2015"
"BF5-3A","BF5",1.36,1.21,1.29,"2015"
"BF5-3B","BF5",1.02,1.53,1.2,"2015"
"BF5-4","BF5",0.48,0.75,1.01,"2015"
"BF5-5A","BF5",0.35,0.61,1.09,"2015"
"BF5-5B","BF5",0.2,0.6,0.95,"2015"
"BF5-6","BF5",0.43,0.78,1,"2015"
"BF5-7A","BF5",0.34,0.77,1.1,"2015"
"BF5-7B","BF5",0.28,0.73,1.38,"2015"
"BF5-8","BF5",0.29,0.3,0.77,"2015"
"BF5-9A","BF5",0.4,0.57,1.19,"2015"
"BF5-9B","BF5",0.22,0.42,1.01,"2015"
"BF5-10","BF5",0.44,0.49,0.99,"2015"
"BF1-1A","BF1",0.82,0.94,1.36,"2017"
"BF1-2","BF1",0.63,1.04,1.03,"2017"
"BF1-3A","BF1",1.58,1.34,1.43,"2017"
"BF1-4","BF1",1.23,1.12,1.41,"2017"
"BF1-5A","BF1",1.03,1.34,1.38,"2017"
"BF1-6","BF1",0.84,1.21,1.34,"2017"
"BF1-7A","BF1",1.59,1.21,1.32,"2017"
"BF1-8","BF1",0.98,1.04,1.31,"2017"
"BF1-9A","BF1",1.42,1.06,1.6,"2017"
"BF1-10","BF1",1.53,1.26,1.46,"2017"
"BF3-1A","BF3",0.62,1.34,1.44,"2017"
"BF3-2","BF3",0.7,1.13,1.5,"2017"
"BF3-3A","BF3",1.01,1.03,1.32,"2017"
"BF3-4","BF3",0.35,0.95,1.45,"2017"
"BF3-5A","BF3",0.61,1.32,1.42,"2017"
"BF3-6","BF3",0.96,1.42,1.06,"2017"
"BF3-7A","BF3",0.76,1.02,1.54,"2017"
"BF3-8","BF3",0.93,1.32,1.55,"2017"
"BF3-9A","BF3",0.65,0.97,1.17,"2017"
"BF3-10","BF3",0.7,1.23,1.17,"2017"
"BF5-1A","BF5",0.38,0.58,0.91,"2017"
"BF5-2","BF5",0.43,0.67,1.31,"2017"
"BF5-3A","BF5",1.02,1.05,1.3,"2017"
"BF5-4","BF5",0.75,0.8,1.02,"2017"
"BF5-5A","BF5",0.35,0.63,1.04,"2017"
"BF5-6","BF5",0.67,0.77,1.21,"2017"
"BF5-7A","BF5",0.27,0.59,1.33,"2017"
"BF5-8","BF5",0.79,0.79,0.95,"2017"
"BF5-9A","BF5",0.35,0.4,0.89,"2017"
"BF5-10","BF5",0.36,0.51,0.81,"2017"
